年度,編號,夜市名稱,攤位名稱,食品業者登錄字號,評核結果
113,1,艋舺夜市,艋舺夜市-瑪拉桑香腸,A-200054602-00002-8,金質
113,2,艋舺夜市,艋舺夜市-豐原排骨,A-200146595-00001-0,銀質
113,3,艋舺夜市,艋舺夜市-口吅品臭豆腐,A-200149041-00001-9,銀質
113,4,艋舺夜市,艋舺夜市-楊桃冰,A-200158873-00001-2,銀質
113,5,艋舺夜市,艋舺夜市-艋舺古早味地瓜球,A-200162791-00001-6,金質
113,6,艋舺夜市,艋舺夜市-地勢攤水煮炭烤玉米,A-200162792-00001-7,金質
113,7,艋舺夜市,艋舺夜市-傳奇黃金芝麻球地瓜球,A-200162793-00001-8,金質
113,8,艋舺夜市,艋舺夜市-客家手作坊麻吉菜燕,A-200162794-00001-9,金質
113,9,艋舺夜市,艋舺夜市-187花生菱角,A-200162795-00001-0,金質
113,10,艋舺夜市,艋舺夜市-小鳳有約,A-200162796-00001-1,金質
113,11,艋舺夜市,艋舺夜市-阮氏越南麵包鋪,A-200162797-00001-2,金質
113,12,艋舺夜市,艋舺夜市-古早味麥芽糖,A-200162798-00001-3,金質
113,13,艋舺夜市,艋舺夜市-蜜餞八仙果,A-200162799-00001-4,金質
113,14,艋舺夜市,艋舺夜市-狀元糕,A-200162800-00001-7,金質
113,15,艋舺夜市,艋舺夜市-土豆龍花生冰捲,A-200162801-00001-8,金質
113,16,艋舺夜市,艋舺夜市-涼圓菜燕,A-200162802-00001-9,金質
113,17,艋舺夜市,艋舺夜市-古早味麥芽餅,A-200162805-00001-2,金質
113,18,艋舺夜市,艋舺夜市-三和武太郎蔥抓餅,A-200162808-00001-5,金質
113,19,艋舺夜市,艋舺夜市-現炸花枝丸熱狗,A-200162812-00001-0,金質
113,20,艋舺夜市,艋舺夜市-阿嬌烤魷魚,A-200162813-00001-1,金質
113,21,艋舺夜市,艋舺夜市-小辣椒烤魷魚,A-200162815-00001-3,金質
113,22,艋舺夜市,艋舺夜市-阿珍姨滷雞腳,A-200162819-00001-7,金質
113,23,艋舺夜市,艋舺夜市-現剖椰子水,A-200162820-00001-9,金質
113,24,艋舺夜市,艋舺夜市-古早味糖葫蘆,A-200162821-00001-0,金質
113,25,艋舺夜市,艋舺夜市-麵姊姊,A-200162826-00001-5,金質
113,26,艋舺夜市,艋舺夜市-陳媽媽豬血糕,A-200162828-00001-7,金質
113,27,艋舺夜市,艋舺夜市-陳媽媽仙草冰,A-200162829-00001-8,金質
113,28,艋舺夜市,艋舺夜市-福哥花生菱角,A-200162831-00001-1,金質
113,29,艋舺夜市,艋舺夜市-古早味仙草愛玉冰,A-200162832-00001-2,金質
113,30,艋舺夜市,艋舺夜市-帥哥果汁吧,A-200162833-00001-3,金質
113,31,艋舺夜市,艋舺夜市-阿慶魷魚蒜,A-200162834-00001-4,金質
113,32,艋舺夜市,艋舺夜市-天美茶莊,A-200162836-00001-6,金質
113,33,艋舺夜市,艋舺夜市-施家碳烤玉米,A-200162839-00001-9,金質
113,34,艋舺夜市,艋舺夜市-丸田飛碟燒,A-200162842-00001-3,金質
113,35,艋舺夜市,艋舺夜市-巴豆咬臭豆腐,A-278960014-00001-5,銀質
113,36,艋舺夜市,巧滷香川鴨,A-202284563-00001-0,銀質
113,37,艋舺夜市,艋舺夜市-古早味涼糕新港飴,A-200162845-00001-6,金質
113,38,艋舺夜市,艋舺夜市-香港龜苓露烏梅釀,A-200162846-00001-7,金質
113,39,艋舺夜市,艋舺夜市-現炒花生,A-200162847-00001-8,金質
113,40,艋舺夜市,艋舺夜市-東港旗魚黑輪,A-200162848-00001-9,金質
113,41,艋舺夜市,艋舺夜市-老盧炭烤胡椒餅,A-200162850-00001-2,金質
113,42,艋舺夜市,艋舺夜市-南洋沙嗲肉串,A-200162853-00001-5,金質
113,43,艋舺夜市,艋舺夜市-阿嬤西瓜汁桂花露,A-200162854-00001-6,金質
113,44,艋舺夜市,艋舺夜市-水果,A-200162856-00001-8,金質
113,45,艋舺夜市,艋舺夜市-肉圓,A-200162861-00001-4,金質
113,46,艋舺夜市,艋舺夜市-艋舺薑母糖,A-200162863-00001-6,銀質
113,47,艋舺夜市,艋舺夜市-男哥現削水果,A-200162865-00001-8,銀質
113,48,艋舺夜市,艋舺夜市-大胖肉粥,A-200162867-00001-0,金質
113,49,艋舺夜市,艋舺夜市-九日咖啡,A-200200157-00001-5,銀質
113,50,艋舺夜市,艋舺雞蛋糕,A-202283682-00001-1,金質
113,51,艋舺夜市,古早味冬瓜茶,A-202283683-00001-2,金質
113,52,艋舺夜市,艋舺夜市-艋舺紅豆餅,A-200162871-00001-5,金質
113,53,艋舺夜市,艋舺夜市-深海大魷魚,A-200162872-00001-6,金質
113,54,艋舺夜市,艋舺夜市-龍山蚵仔煎,A-200162874-00001-8,金質
113,55,艋舺夜市,艋舺夜市-阿鴻知高飯,A-200162877-00001-1,銀質
113,56,艋舺夜市,艋舺夜市-ㄙㄨㄚˋ嘴鹹水雞,A-200162879-00001-3,金質
113,57,艋舺夜市,新記手工煎餃,A-200245577-00001-0,金質
113,58,艋舺夜市,維尼雞排,A-202283684-00001-3,金質
113,59,艋舺夜市,艋舺夜市-花格格魚蛋,A-200162849-00001-0,金質
113,60,艋舺夜市,艋舺夜市-難忘胡椒蝦,A-200209977-00001-4,金質
113,61,艋舺夜市,艋舺夜市-九億現炸排骨酥,A-200211172-00001-4,金質
113,62,艋舺夜市,艋舺夜市-阿華蔥抓餅,A-200211174-00001-6,金質
113,63,艋舺夜市,艋舺夜市-辣媽糖炒栗子,A-200211194-00001-8,銀質
113,64,艋舺夜市,艋舺夜市-吳家胡椒餅,A-200240946-00001-5,金質
113,65,艋舺夜市,艋舺夜市-傳承家鄉滷味,A-200240948-00001-7,金質
113,66,艋舺夜市,艋舺夜市-在地人綠豆沙,A-252256661-00001-3,銀質
113,67,艋舺夜市,艋舺夜市-好日果汁,A-202283687-00001-6,銀質
113,68,艋舺夜市,艋舺夜市-山豬王肉串,A-200162873-00001-7,金質
113,69,艋舺夜市,艋舺夜市-澎湖烤魷魚,A-202283688-00001-7,金質
113,70,艋舺夜市,艋舺夜市-兩喜號,A-181706983-00001-1,銀質
113,71,艋舺夜市,艋舺夜市-好記東山鴨頭,A-202258149-00001-1,銀質
113,72,艋舺夜市,艋舺夜市-日船章魚燒,A-200162879-00001-3,金質
113,73,艋舺夜市,艋舺夜市-越式春捲,A-202284564-00001-1,金質
113,1,公館夜市,公館夜市劉家玉米小王子,A-200245613-00001-1,銀質
113,2,公館夜市,公館夜市-菇菇烤場,A-202283693-00001-3,銀質
113,3,公館夜市,公館夜市-雞翅雞排,A-200159679-00001-7,金質
113,4,公館夜市,公館夜市-紫米牛奶,A-200210954-00001-1,金質
113,5,公館夜市,公館夜市-牛奶爸果汁牛奶,A-202278801-00001-8,銀質
113,6,公館夜市,公館夜市-東山鴨頭,A-200159520-00001-2,金質
113,7,公館夜市,公館夜市-阿鸞法國手工麵包,A-200212007-00001-2,金質
113,8,公館夜市,公館夜市-番滾地瓜球,F-202276423-00001-1,銀質
113,9,公館夜市,公館夜市-花枝焿魷魚焿,A-200159523-00001-5,金質
